Year,Average Volume
2010,23696434.615384616
2011,19359232.14285714
2012,18446940.0
2013,126115827.38095239
2014,103709601.1904762
2015,64774869.047619045
2016,69188196.42857143
2017,95021796.812749
2018,129181601.5936255
2019,137383833.33333334
2020,225923862.45059288
2021,82174886.90476191
2022,86934449.40239044
2023,191332483.33333334
